trade_day,cuf19,cug19,cuh19,cuj19,cuk19,cum19,cun19,cuq19,cuu19,cuv19,cux19,cuz19,cuf20,cug20,cuh20,cuj20,cuk20,cum20,cun20,cuq20,cuu20,cuv20,cux20,cuz20,cuf21,cug21,cuh21,cuj21,cuk21,cum21,cun21,cuq21,cuu21,cuv21,cux21,cuz21,cuf22,cug22,cuh22,cuj22,cuk22,cum22,cun22,cuq22,cuu22,cuv22,cux22,cuz22,cuf23,cug23,cuh23,cuj23,cuk23,cum23,cun23,cuq23
11,527.25,555,513,526,485.5,485.25,477.25,514.75,536.75,518,618,688,728.75,647.25,537.75,516,472.5,542.5,577.25,643.5,693.5,691.75,787.5,829.25,868.25,866.75,962.25,904.75,1029.25,897.75,956.25,1034.75,1042.5,1163.5,1164.5,1059.75,1200.5,1319.25,1474.5,1465.5,1425.5,1328,902.25,919.5,837.75,808.25,896.5,890.75,905.25,904.75,906.75,859.75,794.5,743.5,849,825.25
12,530,556,517.75,529.5,494,483.5,477.75,517.5,533.5,527.25,620.75,688,723.25,638,540,519.5,478,551,587,646.75,700.5,691.5,788,831.75,864,876.5,946.75,903.75,1056.25,879.75,956,1030.5,1033.5,1172.25,1167.25,1078,1209.5,1314.25,1509,1465.5,1422.75,1319.25,888,923,828,820.25,898.5,891.5,908.25,915.75,899.5,856.25,787.25,770.5,849,828.5
13,532.75,555.5,521,531.5,493.75,486.25,477.5,514.25,531.25,528.25,623,686,728.5,640.5,537,518,482.5,551,592,649.5,712.5,682.5,797.5,834,869.75,863,950.75,913.5,1039.5,875,956,1019.5,1022.75,1172.25,1178.25,1081.5,1216.25,1322.5,1496,1446.25,1425.25,1317.25,899.5,924.25,830.75,829.5,880,893,910.25,919.75,899.75,854.5,782.75,767.5,861.25,835.75
14,535.5,557.25,524.25,529,493.75,485,476.5,515.75,530,531.25,628.75,687.5,735.25,642.25,533,504,480.25,551.5,590.5,649.5,706.75,690,795.75,841,869.5,865.25,937.25,920.75,1020.25,879.25,953.75,1013,1024.5,1185.25,1187.5,1067.25,1227,1325.5,1462,1445.75,1416,1271,882.25,910,842.25,827.5,880,887,910.25,920.75,887.5,854.5,778,758.25,860.25,831.5
15,536.75,556.25,525.5,528.75,489.25,485,477.25,519,527.75,531,626.5,690.5,732.25,636.5,538.5,504.5,483.75,560.75,592,645.25,701.5,692.5,791.75,837.25,867,867,929.25,927.75,1010.25,875.75,952.5,1015.5,1035.75,1176.25,1187,1076.75,1223,1347.25,1475.75,1446.5,1421.25,1234.25,881.25,913.5,837.75,827.25,878.5,893.5,910.25,920.75,887.5,854.5,784.5,755.25,867.5,836
16,537.75,554,525,528.75,489.25,483.75,478.75,522.75,524.25,533.5,632.5,690.25,728.5,631.5,537.5,508.5,481,558.75,595.25,644,694,696,794.5,837,868,874,940,924.25,1003.75,875.75,963,1019.75,1043.5,1173,1183.75,1083.25,1224.25,1354.75,1490.25,1435.75,1435.5,1249.75,878,918,832,827.25,889.5,889.75,902.75,925.5,878.25,850.75,781,757.25,862.5,
17,537.5,552.75,523.25,528.75,485.5,483,480.25,522.75,524.25,533.5,631.25,691,728.5,630.5,541.5,506,481,560.25,598.75,642,687.5,696,789.75,844.75,871.25,873,946.25,922.75,1010.75,878.5,969,1019.75,1043.75,1176.25,1176.25,1085.5,1226.25,1373,1505.75,1443.25,1451.75,1245.5,884.25,922.25,821,828.5,896,886.25,905,924.25,874,847.5,776.25,761,862.5,
18,539.75,551.25,523,528.25,485.25,482,481.75,522.5,525,537,628.5,695,714.5,631.75,543.75,503.75,486,558.5,594.25,643,690.5,701.25,791.75,847,871.25,876.75,944.75,929.25,1010.75,877,970.75,1022.75,1041.5,1178.5,1178.75,1095.25,1229.75,1360,1489.5,1463.25,1445.75,1256.75,885.5,926,819.75,828.75,901.75,898.25,910.25,924,871,844.75,776.75,760,862.25,
19,538.5,551,523,526.75,488,482,482,521.25,524.5,537.75,628.75,697.5,720,630,543.5,503.75,485.75,556.75,592.25,644,690.5,701.25,792.5,845.75,872.5,876,941.25,926,1006.5,882,966.75,1024.5,1043.25,1176.75,1175,1103,1234.5,1364.25,1494.5,1461.5,1452.75,1259,888.75,924.25,810.25,830.25,901.75,897.5,911,923,874,843.25,780,761.75,861.5,
20,538.75,,522.5,526.75,489.25,482,481,521.75,524.25,537.75,630,699,718,,545.75,504,486.25,555.75,593.25,644.75,689.5,701,792.25,846.25,,,933.5,926,1009,881.75,969.5,1023,1043.25,1175.75,1175.25,1100.5,1234,,1493,1463.75,1446.75,1257.25,892.5,921.75,812.25,826.75,901.25,897.75,909.25,,879.5,,782.25,761.75,860.25,
21,538.75,,522.25,526.5,488.75,,481,520.75,,538.5,,698.5,717.5,,546.25,504.75,,555,593.5,644.75,688.75,701,,847.25,,,935.5,925.25,,882.75,968.75,1022.5,1045,1177,1173.25,1100.5,,,1493.75,,1445,1257.25,,921.5,813.25,827,901.5,898.75,,,880,,779.25,762,,
22,,,,,488.5,,481,521,,540,,,,,546,,,554.5,593.5,,,700.5,,847.75,,,931.75,,,883.25,,1022.5,,,,1100.5,,,1492.5,,,,,921.25,,,,,,,881.25,,777.25,,,
23,,,,,,,,,,540,,,,,,,,,,,,,,,,,932,,,,,,,,,,,,1490.25,,,,,921.25,,,,,,,881,,,,,
